resourceinstanceid,graphid,graphpublicationid,principaluser_id,add_col_tileid,add_col_addition_to_collection_type,add_col_nodegroupid,add_col_add_col_related_objs,add_stmt_tileid,add_stmt_addition_to_collection_statement_content,add_stmt_addition_to_collection_statement_type,add_stmt_addition_to_collection_statement_language,add_stmt_nodegroupid
f20db744-fa40-4b9a-b4df-ca62cf8a25ac,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,b1c67754-f6e9-4b42-9369-70890aa2a8dc,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""488f6502-d15a-4926-91e9-0e31dad55c85"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""46d478ce-c430-4234-8662-f0062d0d9c04"", ""inverseOntologyProperty"": """"}]",99c50c0f-9d2a-485a-984d-ef48e28e4c7f,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
0ebb5fd1-e438-4575-bac4-9d022e1f7bf4,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,ee6b1a7c-b910-4a72-afdf-af387a23f8f9,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d88d2544-4619-43ea-94f1-e608a5b46250"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""440a92a9-63b4-44ca-bed0-1c590b504756"", ""inverseOntologyProperty"": """"}]",2ba312e9-efc9-4465-adf9-67631e69a07c,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
93d65262-44ce-4a74-8822-1f79210dcea0,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,02903f67-0f11-4217-b5b2-b1ed396b0459,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""73e1bb0c-7661-44cb-9fce-e230119bef4b"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ef607239-03e2-4a78-a12f-1c45dcd1f726"", ""inverseOntologyProperty"": """"}]",cffcb8e3-9284-41ef-a5d3-e16ecf46c418,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
15141710-63f8-4ae2-b5b5-bc1e3b4019f2,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,a0aec5bb-f241-49dd-a050-70b2af45ff54,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c3dba3cd-b644-49bd-b6ef-44c2f956e71b"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c6545a72-bb2b-4686-a4a2-d1fd8f614d10"", ""inverseOntologyProperty"": """"}]",651da37f-d61d-406e-9a60-01ba1dfcc924,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
1f1cdffc-205e-4c56-ace5-bae1ca4ec2ab,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,97109e25-aee9-4ddc-a27b-58608373e83a,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c3317efa-da19-4249-9b42-35ee8af4b0ad"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ab3501ee-6a42-47c0-9332-e1c862cbc729"", ""inverseOntologyProperty"": """"}]",75ae4cb8-d649-40df-a3aa-861d7ab3b7c1,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
297f9893-8307-48c8-bd6e-8eb3f15b093a,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,dd6e84fb-8449-4e66-91b4-88bb73abf578,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e2edb6b-54fe-4200-8b75-9315d1d161f6"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""418806c4-2660-46a3-84d9-8ce6a142347c"", ""inverseOntologyProperty"": """"}]",5a61dc17-3394-44a7-bcf4-0babe53f6745,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
e8923c4d-f2fb-4958-ae0b-92c9ceb2705e,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,3ce1fd63-7d4e-4e59-b9e6-e37b981b2752,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5c2e93d2-f436-46de-bbb8-a218553ed1a0"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6305ead8-6400-4797-ad06-795e03b90b72"", ""inverseOntologyProperty"": """"}]",e9de0761-248a-47e3-8f4e-5cacec5cfcaa,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
1096ebf3-5dae-4f66-910f-af4378cf481c,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,86b5011a-b213-4d14-9e7b-c50061c43b3a,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""db30a485-ca84-4d41-b6ff-0dda353abaff"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""914a539c-d5cc-4d89-99c9-cb6483190983"", ""inverseOntologyProperty"": """"}]",2db9cbdb-d977-4a4a-af40-a9e42c008f62,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
4580210a-9380-4623-a24a-e697edba0a10,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,5ebfff7f-a676-4f8e-85f4-cdf0272ab081,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d9760743-13bf-44b3-8bc6-e5b7e0df8fa7"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd385f95-594a-48f5-bcea-005867c2b5e8"", ""inverseOntologyProperty"": """"}]",3a3608f4-95b4-4588-a1b8-c3c4ea23bbe0,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
f1f23505-0285-4fbb-b5ee-8727e33f9eac,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,d096efba-41fa-416b-96e7-521ec433afcb,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",57f25133-d2bd-11e9-9131-a4d18cec433a,"[{""resourceId"": ""c0debb27-0791-4a83-bd33-77c5d66bffc2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e66b9bfd-5aff-465b-8e1d-76891166f27d"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""ac2067dd-a25d-4eda-9406-33089b1ee111"", ""ontologyProperty"": """", ""resourceXresourceId"": ""00967e0f-9660-4b48-acfb-62816f15dd85"", ""inverseOntologyProperty"": """"}]",9b55c95c-dc92-4f34-92ec-3fd240148ad9,"{""en"": {""value"": ""This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). "", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",57f22c99-d2bd-11e9-8df9-a4d18cec433a
