number,symbol,name,conceptid,preflabel_valueid
49,In,Indium,2f54357f-8552-406a-b702-3dc31e24b788,867edfc0-f7b3-44da-b121-982e5dcf8c7d
50,Sn,Tin,07352117-9e9a-485e-a042-a3df8c7d1d6a,c8b14291-6eb2-4a8b-a5df-0aad74404656
51,Sb,Antimony,e6db9f29-4a2f-4393-97d2-0e9435ccff69,f5a947d3-6fe6-4614-9a8c-81ab1f7fcb16
52,Te,Tellurium,d529cea0-16fb-4c03-85e2-eb37bd499fc0,8ea950e3-72fd-493c-920b-72b0aac5276a
53,I,Iodine,29ee707a-0b99-4286-bfc1-c0268a72b9ca,0a8c01af-7601-4996-bc59-7f4e0003cde3
54,Xe,Xenon,b1eb4eb1-a848-45cb-8e8b-dbc6d33b51cb,51c52dd8-ab33-4828-85c7-ba7545f4e055
55,Cs,Cesium,50525207-905f-4e65-a816-9f024dfc67f7,e12b08ee-84f6-4216-82a0-1956ee2dd229
56,Ba,Barium,d70d092d-eb98-42fe-a153-a88732e5745b,fc8310d1-eb30-491a-8e3d-6ca6f9de8440
57,La,Lanthanum,52454dff-1c2b-4e39-9c1b-0879993cf08f,cba93ac8-be39-4edd-ab41-b2be4ca921a1
58,Ce,Cerium,7ebce11e-ee7e-475a-a36e-2b38f7d1d984,296354ec-2b7c-4af9-84e6-2a3b710be094
59,Pr,Praseodymium,78525076-60d1-4e00-8cf1-6ca9f3a3f02e,6f6fcd03-294e-458a-8deb-d094ad6c9633
60,Nd,Neodymium,6186c844-0f95-4c21-926e-87347b45df8a,9e018465-a5c3-419d-8819-7bf7570d5086
61,Pm,Promethium,3efa527c-32e6-4a2a-84aa-b018ce0742f2,6aaf76e5-f4d6-4509-8d28-e82fb0685b50
62,Sm,Samarium,ad04f159-3d1f-4508-b820-870eebbc40e4,6e88ab42-f056-4ed5-95a9-4fa27629e28b
63,Eu,Europium,b404f414-7aef-403b-a04d-300b2df8a884,34a31d03-5603-401e-9961-bce0b750a9c9
64,Gd,Gadolinium,760e3a5a-3401-43d2-90ef-1a2b97182131,aede5e96-ab99-46cc-b7ba-61494cd4aa07
65,Tb,Terbium,911f6feb-7c1c-4d67-a86d-333e70aa77b5,6af0ad8f-cce1-4897-b9b8-d71c82147eff
66,Dy,Dysprosium,a4011080-0aed-4320-a2c9-cd3fe7eb25e9,ddace229-f326-45a3-81f3-af0b4ac45ef6
67,Ho,Holmium,076cbfad-bfce-4096-894b-04467470fbc8,3d026326-e17f-4fae-924f-606c6ff3b29c
68,Er,Erbium,c77f3f92-ee00-4875-a404-50a8a9ea7dc1,b57f0e1c-d191-46c7-9383-06fb6f79b965
69,Tm,Thulium,12aa5cea-0f98-4b10-8084-24795fe07813,9d555a0f-2cb1-4b18-8c3a-4716281d2187
70,Yb,Ytterbium,cc84ea58-4e46-4c49-a043-eff30f663403,a40de5eb-aad9-4d46-8072-e0a62d836715
71,Lu,Lutetium,5cae4306-ddf1-4e43-9e77-95e867c497d3,91eeda4e-b953-48e9-a114-d72839372e65
72,Hf,Hafnium,581612f5-e396-4859-9d37-39591c91834d,a1e98576-df4f-46da-a0b2-a836e308ff89
73,Ta,Tantalum,dd16dc11-132f-4d9a-96ed-9072f322257e,1bb64bbe-bf52-4f14-a144-15af532cd374
74,W,Tungsten,,
75,Re,Rhenium,16cf5efc-6549-42e9-b306-6f30cb430103,9ce52e35-6f77-4513-8355-30720f9b9c4c
76,Os,Osmium,03099493-552a-44be-8421-ab327fae6874,57173d37-fcec-412c-9316-4985805eaf5d
77,Ir,Iridium,3fe53655-f35b-45cd-8aea-153181da165c,7f77f960-a35d-416e-9677-00118ae0affd
78,Pt,Platinum,d5d44b26-05f9-4145-aa3a-0512fb5c4acf,7e38ab19-7820-4d7f-899e-a28b3c95c1b7
79,Au,Gold,b500136b-4b36-4db2-85b4-fdb6cce13f51,629d3436-d1e6-4f18-b190-3ba543e7b177
80,Hg,Mercury,f04947ea-ae1d-4e63-9245-dfab10303e23,3d0f1756-973f-4b71-8e97-ce4e978f4ef7
81,Tl,Thallium,840026ad-a4ee-42ef-850f-6b7d83162961,08ac4016-0c5c-4857-9cce-47a5c88637a6
82,Pb,Lead,0fdc503e-e2d5-4bff-b351-56d83d79e702,b8521d83-5017-4e3d-ba89-91bf0bb7a409
83,Bi,Bismuth,fd2e3734-ce0c-45ce-9498-f542d482cad4,9d29739d-96c3-4271-a7a1-54cd7257135f
84,Po,Polonium,f95fd4f0-31e5-42ff-b8b0-5fe5fea34c65,8f12827a-cd27-476c-8fe3-e93f57d02bb9
85,At,Astatine,bff5f7c9-b4e5-4fd7-8a3b-5b2d77aad099,89ca109d-5f37-472f-8b4c-811f7db202bf
86,Rn,Radon,4476323a-0bdc-4931-a22d-1a857c7257a4,b5d48326-b93c-4597-a022-264bddd2d9d8
87,Fr,Francium,a00d55b2-147d-4a50-a233-f330120ab4d1,550e4ec0-161f-4c87-9aa8-f2792f4c39ea
88,Ra,Radium,f0b690bb-9e27-433b-a614-87e32fc9e87b,7d8b96b5-48a3-4f59-bc5c-d7c9ad445674
