resourceinstanceid,graphid,graphpublicationid,principaluser_id,type_tileid,type_digital_reference_type,type_nodegroupid,type_digital_source_related_objs,media_uuid
ede2347b-133a-48f5-936e-246ecd90027c,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,a101004a-cc33-44a1-a4cf-ae875bf408d0,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""943e3f18-0dfc-47da-9312-efff08496a0c"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""c2efbb99-cc12-4cc0-b216-bb3b05b1bf1b"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",943e3f18-0dfc-47da-9312-efff08496a0c
5095cf76-b2d8-40c2-9db3-2c618dd718cc,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,65c97dad-3a5b-48a7-8047-fa1db907c583,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""9f456e3a-c77b-466a-851d-c008dedfed0b"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""0fb9f199-3e04-4388-a123-88f8aebcfedb"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",9f456e3a-c77b-466a-851d-c008dedfed0b
6b348934-0714-4f81-9764-30d881dace02,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,5cfddf54-ddbc-4782-8838-3093a9bbdb98,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""cb000de3-f2b6-42c3-a0f1-2b4a2645d829"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""acfb786c-f8f9-4d69-9680-9d0a3e76ce94"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",cb000de3-f2b6-42c3-a0f1-2b4a2645d829
03feabb2-1e2c-43b2-9336-fd8b3bb1cd3c,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,720032b3-e404-4721-81cd-cf7fbf6cef28,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""647fba48-c99f-46e1-8344-70fa0a89c6f2"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""31dc9052-7dac-4618-8b40-0c6ab77f6b57"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",647fba48-c99f-46e1-8344-70fa0a89c6f2
4a1b1b85-4595-460e-9c60-4e60db771ad6,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,3eacc3a9-7c3f-4e66-88ee-147a0aec3fd7,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""0c7adca8-545b-4a8d-b8ff-4d501077a0f9"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""c3edc063-0682-404b-8f60-642959d27f28"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",0c7adca8-545b-4a8d-b8ff-4d501077a0f9
45cc161d-ade4-4a82-8bf3-c952210b5ce1,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,24c0f0d8-7df4-42c3-844f-2796d79b5f42,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""892a2e88-682a-411c-9b83-aae66215fa86"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""885c226f-40d6-4f0d-b3da-b9a0a8b2e998"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",892a2e88-682a-411c-9b83-aae66215fa86
6e01ffe7-6af9-4980-80fa-07bce6e49a06,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,15733311-f0cb-4e0e-af7a-fe33fc759268,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""1297705f-33bd-4de3-bd80-c6f8205f45db"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""69a6db9a-d8af-4913-a81e-2477f3135407"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",1297705f-33bd-4de3-bd80-c6f8205f45db
3401653e-6872-46e9-9b1f-e75af840a402,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,9c0e3d4b-b8cb-43a1-9c5f-5db3ed0c4b84,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""5c14afac-96ff-4a58-ae2a-ec4bcf8662b6"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""ec5aad31-c1d9-462a-8742-50454c0655ba"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",5c14afac-96ff-4a58-ae2a-ec4bcf8662b6
2ec0cf6a-ae6d-46c9-8d49-0a7eca81b620,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,f30d0a19-14f3-49d5-a9a5-d4b266149bd9,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""9094b382-1a76-4e5e-9e97-ba7420b1bfd8"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""fa333328-3e64-4d46-bdd1-83abaf2cfb55"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",9094b382-1a76-4e5e-9e97-ba7420b1bfd8
f94b58b0-180b-4197-b84f-7ac07276b3c2,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,a5583910-2c8e-4dbc-9854-61b33f43a1ec,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""67c3a18d-b319-4de9-a1bf-5bd78cb36283"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""466e699d-1f68-4777-b85f-69a9995679f1"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",67c3a18d-b319-4de9-a1bf-5bd78cb36283
