item_uuid,label,uri,thumbnail,afs_filename,media_uuid,media_label,media_uri,media_ark,media_type_afs_uuid,file_id,filesize
f20db744-fa40-4b9a-b4df-ca62cf8a25ac,AIA 1010,http://opencontext.org/subjects/f20db744-fa40-4b9a-b4df-ca62cf8a25ac,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1010I.jpg,troy-naa-samples-AIA-1010I.jpg,cf96e901-cb29-4248-9986-fc167a552873,Photo AIA-1010I,https://opencontext.org/media/cf96e901-cb29-4248-9986-fc167a552873,https://n2t.net/ark:/28722/k2571t364,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",3667fbc1-9ad5-4703-a8ef-6cad24bdbcac,241370
0ebb5fd1-e438-4575-bac4-9d022e1f7bf4,AIA 1011,http://opencontext.org/subjects/0ebb5fd1-e438-4575-bac4-9d022e1f7bf4,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1011E.jpg,troy-naa-samples-AIA-1011E.jpg,2a35ca78-8b2d-40a0-86f7-33f5553244ae,Photo AIA-1011E,https://opencontext.org/media/2a35ca78-8b2d-40a0-86f7-33f5553244ae,https://n2t.net/ark:/28722/k2zg71p1n,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",6a07eb6a-9235-497a-a20a-2938cb48843a,243623
93d65262-44ce-4a74-8822-1f79210dcea0,AIA 1012,http://opencontext.org/subjects/93d65262-44ce-4a74-8822-1f79210dcea0,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1012E.jpg,troy-naa-samples-AIA-1012E.jpg,a6aae611-65e4-4dd0-9461-6d2253c50d3a,Photo AIA-1012E,https://opencontext.org/media/a6aae611-65e4-4dd0-9461-6d2253c50d3a,https://n2t.net/ark:/28722/k2708g40d,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",641ae9c5-89f3-4797-a16f-12a3eca39980,270369
15141710-63f8-4ae2-b5b5-bc1e3b4019f2,AIA 1013,http://opencontext.org/subjects/15141710-63f8-4ae2-b5b5-bc1e3b4019f2,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1013E.jpg,troy-naa-samples-AIA-1013E.jpg,5d1f74f3-c615-4dde-947c-4a44640f4029,Photo AIA-1013E,https://opencontext.org/media/5d1f74f3-c615-4dde-947c-4a44640f4029,https://n2t.net/ark:/28722/k2gf16b56,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",4aee7968-abc0-4d65-9ca6-686aeb91d443,249061
1f1cdffc-205e-4c56-ace5-bae1ca4ec2ab,AIA 1014,http://opencontext.org/subjects/1f1cdffc-205e-4c56-ace5-bae1ca4ec2ab,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1014E.jpg,troy-naa-samples-AIA-1014E.jpg,16dccb86-b5da-4ac8-9521-233e7859dc14,Photo AIA-1014E,https://opencontext.org/media/16dccb86-b5da-4ac8-9521-233e7859dc14,https://n2t.net/ark:/28722/k2qz2mz4g,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",affbd123-d7c8-4c01-9ada-45a94da78da9,265959
297f9893-8307-48c8-bd6e-8eb3f15b093a,AIA 1015,http://opencontext.org/subjects/297f9893-8307-48c8-bd6e-8eb3f15b093a,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1015E.jpg,troy-naa-samples-AIA-1015E.jpg,f3e86550-c724-4f89-9898-13acc7bd826c,Photo AIA-1015E,https://opencontext.org/media/f3e86550-c724-4f89-9898-13acc7bd826c,https://n2t.net/ark:/28722/k20g42d3m,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",f5ad1d45-986f-4846-a576-0f5d92adc6f0,241540
e8923c4d-f2fb-4958-ae0b-92c9ceb2705e,AIA 1016,http://opencontext.org/subjects/e8923c4d-f2fb-4958-ae0b-92c9ceb2705e,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1016E.jpg,troy-naa-samples-AIA-1016E.jpg,13cc63fd-8f6f-4e26-8cd4-31459eb5867a,Photo AIA-1016E,https://opencontext.org/media/13cc63fd-8f6f-4e26-8cd4-31459eb5867a,https://n2t.net/ark:/28722/k27w6sm70,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",73fa52da-6634-452f-aa23-bf8cd79581f9,242364
1096ebf3-5dae-4f66-910f-af4378cf481c,AIA 1017,http://opencontext.org/subjects/1096ebf3-5dae-4f66-910f-af4378cf481c,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1017E.jpg,troy-naa-samples-AIA-1017E.jpg,46ec1ad0-8abd-42e7-ae47-b6ab8582b51b,Photo AIA-1017E,https://opencontext.org/media/46ec1ad0-8abd-42e7-ae47-b6ab8582b51b,https://n2t.net/ark:/28722/k2hd8778b,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",e12ad922-62ce-4838-9be2-4b0c2968342a,221207
4580210a-9380-4623-a24a-e697edba0a10,AIA 1018,http://opencontext.org/subjects/4580210a-9380-4623-a24a-e697edba0a10,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1018E.jpg,troy-naa-samples-AIA-1018E.jpg,301f636b-5648-443c-a657-0021ce80dd30,Photo AIA-1018E,https://opencontext.org/media/301f636b-5648-443c-a657-0021ce80dd30,https://n2t.net/ark:/28722/k2rx9nv3p,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",89f78aba-4de7-47a7-b5cc-5edfe6643f95,238878
f1f23505-0285-4fbb-b5ee-8727e33f9eac,AIA 1019,http://opencontext.org/subjects/f1f23505-0285-4fbb-b5ee-8727e33f9eac,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1019E.jpg,troy-naa-samples-AIA-1019E.jpg,77badd45-de85-44c3-a018-e4ac127307c6,Photo AIA-1019E,https://opencontext.org/media/77badd45-de85-44c3-a018-e4ac127307c6,https://n2t.net/ark:/28722/k21g1391w,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",422140c4-9fea-4d0b-8525-9341485f7bc9,254152
